P1,P2,similarity
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.46769639029370097 0.35393146821758525 0.30773808096112665 0.4768101154139276 0.39774496471579646 0.35758373824078915,0.8638618493837913
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.6362190425655005 0.4834425460824243 0.6944152444363703 0.4994577547084863 0.46061743613464307 0.4967977170416676,0.6936819610815195
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.3337593830146852 0.5183293684134889 0.7098733357815608 0.592670006059684 0.6168309815376127 0.2719430516347639,0.6900411263484871
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.41498741551750906 0.3827570673826232 0.4604072715182552 0.3947080571795303 0.39908642227692404 0.3512910359498733,0.8366011322672318
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.6673231947071996 0.8373300670594764 0.7805526956913458 0.6482044591147536 0.7108351898204033 0.8669302573917835,0.49627878159638794
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.8137372894149555 0.8145360434472191 0.6794785674939826 0.6677436556170387 0.7540365077583076 0.7280730466677189,0.5121170991540394
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.8613359736975644 0.57425764808849 0.8696626751615953 0.6897257075734534 0.6677522058732507 0.6607236341016784,0.5297210058906681
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.6927132318349414 0.9612353248470911 0.6977473917471912 0.6798311979053278 0.7897268824580786 0.8333657725972347,0.46862772924185536
0.3009715115633381 0.14384441220228625 0.1867624495824417 0.37906803421941354 0.2801694776831124 0.32215483687904367,0.783355621441991 0.8349846241251633 0.7642400005071964 0.7377696814928759 0.7738475791176453 0.6986813694536987,0.4904239158627919
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.5221804264952429 0.5869640003306091 0.48203173867748894 0.45017635473236084 0.3845165004426144 0.606025659601893,0.6911845445774107
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.7589109816836639 0.7631064633644392 0.705847989823428 0.8823799769927626 0.7777653733562184 0.7571734238970174,0.42788025097547877
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.7697001906102252 0.8064408180555399 0.6394203449914276 0.838826260908133 0.6303331922035186 0.735458405269472,0.46258031183294124
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.7559893974028371 0.7838182573551994 0.7993459355323939 0.6656572425863652 0.6022904944975688 0.788578525883893,0.4694174907134028
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.788103466777188 0.6574908365009335 0.7450982688593347 0.7540625436350424 0.6564532965557864 0.7634777751313411,0.4727394442904672
0.15508897161714696 0.27913615160577654 0.23666459092944536 0.18377111197618473 0.2069394474430616 0.1817882354652448,0.5458629740585798 0.7463615966438111 0.7792151735232169 0.8003154319156849 0.5656231923081574 0.7800714274463803,0.4946801710409579
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.6184644491637843 0.704430346863209 0.5708768370104514 0.6607658324239757 0.3552248653405232 0.5026602670665232,0.6674442212954508
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.3962626241710143 0.6280860001813809 0.5135755036506691 0.6202477584478876 0.37157573532893784 0.510280063554309,0.7342328955899188
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.5758750535952849 0.3633480652488332 0.32161301739215054 0.6472371877330134 0.498560933040544 0.4199067177023593,0.7326655402076239
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.446409266696677 0.5322238637127704 0.652137174494887 0.5742750527627889 0.343417108755779 0.6059273563092074,0.7075549139439989
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.6630292124616534 0.8247969851884434 0.7446358004900417 0.676228527918265 0.816248293454112 0.7072243962211092,0.4889967816091516
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.722083196200601 0.8041897569120974 0.806500070782109 0.7640862165350357 0.8229167077889967 0.8451137872292804,0.44321138130602405
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.6057654047369277 0.608814328166204 0.8077453626665883 0.7141532607154325 0.65634535994105 0.9008683399130128,0.5169035211522153
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.7378503689119326 0.8648272949679542 0.7829839889980086 0.6831526917278898 0.750898781142626 0.7925467009348196,0.46734138107751677
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.6797371946196513 0.6757080431773128 0.7461417652726499 0.8438978804512495 0.5936535850478019 0.8151400429892984,0.5203004587978993
0.20359577315359828 0.32710325629185943 0.15813274185109732 0.383729368264523 0.06163274635708729 0.3771011129072971,0.7010577848851264 0.6219609521013014 0.7359320477301644 0.9074122079135726 0.63857287099783 0.826726507008259,0.5037594382505971
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.7791133429122555 0.2887429734324603 0.40509081098885047 0.4200222554898795 0.46879966990089855 0.554589104726039,0.6405720508555822
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.45225029052751803 0.4681009966695332 0.4838692771781297 0.5006444067201762 0.46987663772148436 0.46188103713568596,0.6846639543869194
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.3754897843831958 0.5498579025600244 0.2934118573607075 0.5269763358768986 0.39680665048922376 0.45891491892915676,0.717544273609923
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.691925778165254 0.8953489132467205 0.809357915785846 0.7259627230296088 0.7452237810375081 0.7448357143214271,0.3916021329707409
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.7380678262684727 0.7326668301187835 0.8349640865957736 0.759680213499146 0.7765277032045007 0.7588990836659402,0.3967920089477828
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.9060470776878677 0.5702559544689155 0.5719586628939648 0.7373341680795513 0.7241600426201968 0.7407503941982432,0.44493466327913095
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.7892117130306153 0.7093132606664511 0.7043307487048767 0.627183528615198 0.7440093451711409 0.7991606821992634,0.43329993118402593
0.13674141659066835 0.14664207911562316 0.15885756889115127 0.2383974633703944 0.01644090099695722 0.34470933572830653,0.6195559921183778 0.7455918804888728 0.4654767130120267 0.7487160841686288 0.9169465906271264 0.7217033734918015,0.43736835988552597
