P1,P2,dist
0.6060653920112019 0.07510711700349904,0.2723344331710422 0.14679400591101732,0.7586337192878724
0.6060653920112019 0.07510711700349904,0.6490783489925313 0.8242591649645022,0.4693970856504636
0.6060653920112019 0.07510711700349904,0.3612102416002624 0.33834129070333874,0.7457891870059407
0.6060653920112019 0.07510711700349904,0.7389624708310798 0.09179620937089861,0.9052894954007095
0.6060653920112019 0.07510711700349904,0.659817255006194 0.5611468277902241,0.6542227138481507
0.6060653920112019 0.07510711700349904,0.7922317023502695 0.5060541420506871,0.6680563048480332
0.6060653920112019 0.07510711700349904,0.5254846300946369 0.6942682122262639,0.5584947786104292
0.6060653920112019 0.07510711700349904,0.6227295386966003 0.29865984426384906,0.8414857803692475
0.6060653920112019 0.07510711700349904,0.6824691183078783 0.06522646084880357,0.9455245157980916
0.6060653920112019 0.07510711700349904,0.5110395867796212 0.3191238624219236,0.8148324060418367
0.6060653920112019 0.07510711700349904,0.5728267849985398 0.7739230925326813,0.5053038444403753
0.6060653920112019 0.07510711700349904,0.1628765493077995 0.3169839409597188,0.6429840701985909
0.6060653920112019 0.07510711700349904,0.15304836997394833 0.38297118043930234,0.6126986290944055
0.6060653920112019 0.07510711700349904,0.7373119115049168 0.05000188274218709,0.9055121127696004
0.8976680693338719 0.6883521482444395,0.7214320488693411 0.7304235848427709,0.8718806402478104
0.8976680693338719 0.6883521482444395,0.7456477638731561 0.48429654333472083,0.8200710373960872
0.8976680693338719 0.6883521482444395,0.2723344331710422 0.14679400591101732,0.41505240489243256
0.8976680693338719 0.6883521482444395,0.5872393346633806 0.02019252471991617,0.4790377740096913
0.8976680693338719 0.6883521482444395,0.6490783489925313 0.8242591649645022,0.799665821371972
0.8976680693338719 0.6883521482444395,0.09489405974031506 0.44585625413616137,0.40702008080446384
0.8976680693338719 0.6883521482444395,0.15273465305262934 0.055650201178253256,0.30890031525336886
0.8976680693338719 0.6883521482444395,0.03828117056952951 0.5043936060823732,0.37855547834010694
0.8976680693338719 0.6883521482444395,0.22140076015829524 0.2018010918624168,0.41090348671629484
0.8976680693338719 0.6883521482444395,0.6576060093432711 0.46161835666795037,0.7665069541832331
0.8976680693338719 0.6883521482444395,0.8955768352357861 0.25728698675627537,0.6951873143151109
0.8976680693338719 0.6883521482444395,0.33681319652220076 0.31536570846792833,0.5237243064076477
0.8976680693338719 0.6883521482444395,0.4309170017367011 0.04612389414777762,0.43861168098047093
0.8976680693338719 0.6883521482444395,0.18700841781047517 0.836988163456877,0.48661427497368626
0.8976680693338719 0.6883521482444395,0.12880762482524166 0.8480365516847205,0.44473182522672583
0.8976680693338719 0.6883521482444395,0.1628765493077995 0.3169839409597188,0.417834678427127
0.8976680693338719 0.6883521482444395,0.22328219047045383 0.38759617887611153,0.4778647365284225
0.8976680693338719 0.6883521482444395,0.8713640805729217 0.26714913182906463,0.7015842825334541
0.8976680693338719 0.6883521482444395,0.564258114685233 0.07572688885825751,0.5068104287919329
0.8976680693338719 0.6883521482444395,0.22533693853909442 0.3285550253520966,0.4607954381325248
0.7214320488693411 0.7304235848427709,0.7214320488693411 0.7304235848427709,1.0
0.7214320488693411 0.7304235848427709,0.22619410238022564 0.4067403460716331,0.5816511845934488
0.7214320488693411 0.7304235848427709,0.2187881180085096 0.3067832173782211,0.5351763333387988
0.7214320488693411 0.7304235848427709,0.7490392019105819 0.8555566456499051,0.9093897417341601
0.7214320488693411 0.7304235848427709,0.22378663932775056 0.9564076455364557,0.6135289471865815
0.7214320488693411 0.7304235848427709,0.34442363404142484 0.26489214798342997,0.5764112468706347
0.7214320488693411 0.7304235848427709,0.659817255006194 0.5611468277902241,0.8726206388361422
0.7214320488693411 0.7304235848427709,0.8255712732618715 0.38893446601625214,0.7475521872406199
0.7214320488693411 0.7304235848427709,0.4309170017367011 0.04612389414777762,0.47432659412152894
0.7214320488693411 0.7304235848427709,0.18700841781047517 0.836988163456877,0.6146659716237451
0.7214320488693411 0.7304235848427709,0.12880762482524166 0.8480365516847205,0.5727784427589322
0.7214320488693411 0.7304235848427709,0.8096386629520629 0.29698716054844587,0.6872320823094316
0.7214320488693411 0.7304235848427709,0.5868877422141547 0.06718924227077616,0.5214699781517199
0.7214320488693411 0.7304235848427709,0.15304836997394833 0.38297118043930234,0.5289462983053778
0.7214320488693411 0.7304235848427709,0.377957064769722 0.3072512832671581,0.614610676378396
0.7214320488693411 0.7304235848427709,0.2906632770206845 0.11804033911860379,0.4705781575890235
0.8789690213623323 0.07649202642352149,0.5063604129562786 0.8165669502642375,0.41410407581374253
0.8789690213623323 0.07649202642352149,0.7338045077668185 0.7356760716778783,0.522717933751267
0.8789690213623323 0.07649202642352149,0.5063958888237886 0.9728339090631141,0.31361836065368404
0.8789690213623323 0.07649202642352149,0.03828117056952951 0.5043936060823732,0.3329708310931364
0.8789690213623323 0.07649202642352149,0.5455202107698457 0.2854027574709781,0.7217628683727433
0.8789690213623323 0.07649202642352149,0.59999233928682 0.6331059632431612,0.5597460597543054
0.8789690213623323 0.07649202642352149,0.9204576720482072 0.5376813918307487,0.672572955530201
0.8789690213623323 0.07649202642352149,0.3318174425882854 0.5189368355201186,0.5024398231110853
0.8789690213623323 0.07649202642352149,0.5110395867796212 0.3191238624219236,0.6883573547536306
0.8789690213623323 0.07649202642352149,0.36708953739201033 0.4252206819411857,0.5620318040719847
0.8789690213623323 0.07649202642352149,0.5526983741776873 0.15927949411342845,0.7619807780653057
0.8789690213623323 0.07649202642352149,0.4940831233661934 0.038758950972350936,0.7265398205777504
